time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
11,Yachvili - penalty goal,3,0,
17,,3,3,Burton - drop goal
20,Rougerie - try,8,3,
21,Yachvili - conversion,10,3,
29,,10,6,Burton - penalty goal
34,Malzieu - try,15,6,
40,end of first half,15,6,end of first half
40,start of second half,15,6,start of second half
46,,15,9,Burton - penalty goal
50,Nallet - sub off;Maestri - sub on,15,9,
51,Yachvili - penalty goal,18,9,
53,Clerc - try,23,9,
54,Yachvili - conversion;Servat - sub off;Szarzewski - sub on,25,9,
55,,25,9,Burton - sub off; - sub on;van Zyl - sub off;Bortolami - sub on;Canale - sub on;Sgarbi - sub off
60,,25,12, - penalty goal
62,Poux - sub on;Yachvili - sub off;Debaty - sub off;Parra - sub on,25,12,Lo Cicero Vaina - sub off;Cittadini - sub on
64,Picamoles - sub off;Harinordoquy - sub on,25,12,
67,,25,12,Barbieri - sub off;Favaro - sub on
70,,25,12,Geldenhuys - yellow card
71,Fofana - try,30,12,
75,Beauxis - sub on;Trinh-Duc - sub off;Debaty - sub on;Mas - sub off;Mermoz - sub on;Rougerie - sub off,30,12,d'Apice - sub on;Ghiraldini - sub off;Semenzato - sub on;Gori - sub off
81,end of second half;end of half,30,12,end of second half;end of half
0,,30,12,
81,,30,12,
