time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
22,,0,3,Farrell - penalty goal
25,Parks - penalty goal,3,3,
32,Parks - penalty goal,6,3,
42,end of first half,6,3,end of first half
40,start of second half,6,8,start of second half;Hodgson - try
41,,6,10,Farrell - conversion
58,Blair - sub on;Cusiter - sub off;Barclay - sub on;Strokosch - sub off;Laidlaw - sub on;Parks - sub off;Kellock - sub on;Hamilton - sub off,6,10,
59,,6,10,Palmer - sub off;Parling - sub on
63,,6,10,Youngs - sub off;Dickson - sub on;Hodgson - sub off;Turner-Hall - sub on;Stevens - sub on;Corbisiero - sub off
68,,6,10,Morgan - sub on;Dowson - sub off
71,,6,10,Barritt - sub off;Brown - sub on
74,Ford - sub off;Lawson - sub on;Murray - sub off;Cross - sub on,6,13,Farrell - penalty goal
81,end of second half;end of half,6,13,end of second half;end of half
0,,6,13,
81,,6,13,
