time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
26,,0,3,Farrell - penalty goal
33,Castrogiovanni - sub off;Cittadini - sub on,0,3,
35,,0,6,Farrell - penalty goal
37,Venditti - try,5,6,
40,Benvenuti - try,10,6,
41,Burton - conversion;end of first half,12,6,end of first half
40,start of second half,12,6,start of second half
47,Burton - penalty goal;Burton - sub off; - sub on,15,6,
50,,15,13,Hodgson - try;Farrell - conversion
51,,15,13,Youngs - sub off;Dickson - sub on;Dowson - sub off;Morgan - sub on
54,,15,16,Farrell - penalty goal
57,Geldenhuys - sub off;Pavanello - sub on;Gori - sub off;Semenzato - sub on,15,16,
58,d'Apice - sub on;Ghiraldini - sub off,15,16,Parling - sub on;Palmer - sub off
63,Canale - sub off;Morisi - sub on,15,16,
65,,15,19,Farrell - penalty goal
75,,15,19,Webber - sub on;Stevens - sub on;Cole - sub off;Hartley - sub off
76,Barbieri - sub off;Bergamasco - sub on,15,19,
77,,15,19,Hodgson - sub off;Turner-Hall - sub on
80,end of second half;end of half,15,19,end of second half;end of half
0,,15,19,
80,,15,19,
