time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
7,Hogg - try,5,0,
9,Laidlaw - conversion,7,0,
25,Laidlaw - penalty goal,10,0,
28,,10,5,Fofana - try
29,,10,7,Parra - conversion
30,Blair - sub off;Cusiter - sub on;RP Lamont - sub off;de Luca - sub on,10,7,
38,,10,10,Parra - penalty goal
41,end of first half,10,10,end of first half
40,start of second half,10,10,start of second half
46,,10,13,Parra - penalty goal
48,Weir - sub on;Laidlaw - sub off,10,13,
50,,10,13,Debaty - sub on;Poux - sub off;Servat - sub on;Szarzewski - sub off
52,Vernon - sub on;Denton - sub off,10,13,
55,Jones - try,15,13,Picamoles - sub off;Bonnaire - sub on
56,Weir - conversion,17,13,
58,,17,18,Medard - try
59,,17,20,Parra - conversion
61,Kalman - sub on;Cross - sub off,17,20,Medard - sub off;Beauxis - sub on
65,,17,20,Nallet - sub on;Maestri - sub off
68,Lawson - sub on;Ford - sub off,17,23,Beauxis - drop goal
69,Kellock - sub on;Hamilton - sub off,17,23,
74,,17,23,Parra - sub off;Dupuy - sub on
80,end of second half;end of half,17,23,end of second half;end of half
0,,17,23,
80,,17,23,
