time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
9,Halfpenny - penalty goal,3,0,
12,,3,3,Bergamasco - penalty goal
19,Halfpenny - penalty goal,6,3,
36,Halfpenny - penalty goal,9,3,
40,end of first half,9,3,end of first half
40,start of second half,9,3,start of second half
49,Roberts - try,14,3,
50,Halfpenny - conversion,16,3,
51,,16,3,Staibano - sub on;Cittadini - sub off;van Zyl - sub off;Bortolami - sub on
52,,16,3,Ghiraldini - sub off;d'Apice - sub on
61,Halfpenny - yellow card,16,3,
62,Charteris - sub on;Owens - sub on;AW Jones - sub off;Rees - sub off,16,3,Barbieri - sub on;Favaro - sub off
65,Faletau - sub off;RP Jones - sub on,16,3,
66,,16,3, - sub on;Semenzato - sub off;Benvenuti - sub on;Canale - sub off
68,Davies - sub off;Williams - sub on,16,3,
69,Priestland - penalty goal,19,3,
70,AR Jones - sub off;James - sub on;Webb - sub on;Phillips - sub off,19,3,
71,,19,3,Toniolatti - sub on;Masi - sub off;Lo Cicero Vaina - sub off;Cittadini - sub on
73,Hook - sub on;Halfpenny - sub off,19,3,
77,Cuthbert - try,24,3,
80,end of second half;end of half,24,3,end of second half;end of half
0,,24,3,
80,,24,3,
