time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
12,,0,5,Tuilagi - try
14,,0,7,Farrell - conversion
16,Beauxis - penalty goal,3,7,
17,,3,12,Foden - try
18,,3,14,Farrell - conversion
32,Dupuy - penalty goal,6,14,
36,Mermoz - sub on;Clerc - sub off,6,14,
39,Beauxis - penalty goal,9,14,
40,end of first half,9,14,end of first half
40,start of second half,9,14,start of second half
49,Poux - sub off;Szarzewski - sub off;Debaty - sub on;Servat - sub on;Dupuy - sub off;Parra - sub on,9,17,Farrell - penalty goal
52,,9,17,Sharples - yellow card
54,Nallet - sub on;Maestri - sub off,9,17,
55,,9,17,Palmer - sub on;Botha - sub off
62,,9,17,Dowson - sub on;Morgan - sub off
64,Parra - penalty goal,12,17,
66,Bonnaire - sub off;Picamoles - sub on,12,17,
68,Beauxis - penalty goal,15,17,Cole - sub off;Stevens - sub on
70,,15,22,Croft - try
71,,15,24,Farrell - conversion
73,Beauxis - sub off;Trinh-Duc - sub on,15,24,Dickson - sub off;Youngs - sub on
74,Fofana - try,20,24,Dowson - sub off;Webber - sub on
75,Parra - conversion;Poux - sub on;Mas - sub off,22,24,
80,end of second half;end of half,22,24,end of second half;end of half
0,,22,24,
80,,22,24,
