time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
10,Bergamasco - penalty goal,3,0,
35,,3,3,Laidlaw - penalty goal
38,,3,3,de Luca - yellow card
40,end of first half,3,3,end of first half
40,start of second half,3,3,start of second half
42,Venditti - try,8,3,
43,Burton - conversion,10,3,
49,,10,3,Cross - sub off;Murray - sub on
51,Lo Cicero Vaina - sub off;Cittadini - sub on,10,3,
54,,10,3,Kellock - sub on;Gray - sub off;Hamilton - yellow card
56,Ongaro - sub off;Vosawai - sub on;Barbieri - sub off;d'Apice - sub on,10,3,
59,,10,6,Laidlaw - penalty goal
65,Zanni - yellow card,10,6,
66,Lo Cicero Vaina - sub on;Castrogiovanni - sub off; - sub on;Gori - sub off,10,6,
69,Canale - sub off;Toniolatti - sub on,10,6,Laidlaw - sub off;Jackson - sub on;Barclay - sub off;Vernon - sub on
71, - sub off;Favaro - sub on,10,6,
75,Furno - sub on;Geldenhuys - sub off,10,6,
76,Burton - drop goal,13,6,
80,end of second half;end of half,13,6,end of second half;end of half
0,,13,6,
80,,13,6,
