time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
22,,0,3,Laidlaw - penalty goal
27,,0,6,Laidlaw - penalty goal
32,Harris - penalty goal,3,6,
38,,3,6,Brown - sub on;Lamont - sub off
40,end of first half,3,6,end of first half
40,start of second half,3,6,start of second half
42,Harris - penalty goal,6,6,
54,Timani - sub off;Simmons - sub on,6,6,
63,,6,6,Cusiter - sub on;Blair - sub off
65,Hooper - sub on;Dennis - sub off,6,6,
70,Alexander - sub on;Palmer - sub off,6,6,
82,,6,9,Laidlaw - penalty goal
83,end of second half;end of half,6,9,end of second half;end of half
0,,6,9,
83,,6,9,
