time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
3,,0,3,Burton - penalty goal
10,Contepomi - penalty goal,3,3,
19,Farias Cabello - yellow card,3,3,
24,,3,10,penalty try;Burton - conversion
28,Contepomi - penalty goal,6,10,
33,Leonardi - try;Contepomi - conversion,13,10,
40,end of first half,13,10,end of first half
40,start of second half,13,10,start of second half
44,Contepomi - penalty goal,16,10,Furno - sub on;Bortolami - sub off
50,de la Vega - sub on;Fessia - sub off,16,10,
54,,16,15,Gori - try
56,Roncero - try;Agulla - sub off;Montero - sub on;Contepomi - conversion,23,15,Favaro - sub on;Barbieri - sub off
59, - sub on;Gomez Kodela - sub off,23,15,
66,Contepomi - conversion;Senatore - try,30,15,
67,Postiglioni - sub on;Guinazu - sub off,30,15,Festuccia - sub off;Bocchino - sub on;Burton - sub off;Giazzon - sub on;Romano - sub on;de Marchi - sub off
71,Guzman - sub on;Leonardi - sub off,30,15,
74,Cubelli - sub on;Contepomi - conversion;Landajo - sub off;Contepomi - try,37,15,
78,Guinazu - sub on;Roncero - sub off,37,15,
79,,37,22,Bocchino - conversion;Bergamasco - try
80,end of second half,37,22,end of second half
