time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
6,,0,3,Farrell - penalty goal
13,M Steyn - penalty goal,3,3,
26,,3,6,Farrell - penalty goal
29,M Steyn - penalty goal,6,6,
31,Habana - sub off;Olivier - sub on,6,6,
41,end of first half,6,6,end of first half
40,start of second half;Kirchner - sub off;Lambie - sub on;Habana - sub on;Olivier - sub off,6,6,start of second half
47,M Steyn - try,11,6,
49,JN du Plessis - sub off; - sub on,11,6,
53,,11,6,Flood - sub on;Barritt - sub off
56,Pienaar - sub on;Hougaard - sub off,11,6,
58,Etzebeth - sub off;van der Merwe - sub on;JN du Plessis - sub on;Mtawarira - sub off,11,6,Palmer - sub on;Botha - sub off
59,de Villiers - try,16,6,
61,,16,6,Dowson - sub on;Morgan - sub off
63,,16,9,Farrell - penalty goal
65,Strauss - sub on;BW du Plessis - sub off,16,12,Farrell - penalty goal
69,M Steyn - penalty goal,19,12,
72,Coetzee - sub off;Daniel - sub on,19,12,Dickson - sub on;Youngs - sub off;Marler - sub off;Doran Jones - sub on
75,,19,12,Mears - sub on;Hartley - sub off
77,M Steyn - penalty goal,22,12,
78,,22,12,Brown - sub off;Joseph - sub on
80,,22,17,Foden - try
81,end of second half;end of half,22,17,end of second half;end of half
0,,22,17,
81,,22,17,
