time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
5,Ralulu - penalty goal,3,0,
7,Ralulu - penalty goal,6,0,
16,,6,5,Laidlaw - try
17,Ravulo - sub off; - sub on,6,7,Laidlaw - conversion
21,,6,12,penalty try
22,,6,14,Laidlaw - conversion
24, - try,11,14,
32,,11,17,Laidlaw - penalty goal
36,,11,22,Visser - try
38,,11,24,Laidlaw - conversion
40,end of first half,11,24,end of first half
40,start of second half,11,24,start of second half
46,,11,27,Laidlaw - penalty goal
48,Nayacalevu Vuidravuwalu - try,16,27,
50,Ralulu - conversion,18,27,
55,,18,27,Blair - sub off;Cusiter - sub on
58, - sub off;Ratuvou - sub on;Nailago - sub on;Yanuyanutawa - sub off,18,27,Barclay - sub off;Vernon - sub on
60, - sub off; - sub on;Veikoso - sub off;Tuapati - sub on,18,27,
62,,18,27,Lamont - sub on;Evans - sub off
64, - try,23,27,
65,Ralulu - conversion,25,27,
66,Kenatale Ranuku - sub on;Matawalu - sub off,25,27,Murray - sub off;Cross - sub on
69,,25,30,Laidlaw - penalty goal
70,Ketedromo - sub on;Ratuva - sub off,25,30,
72,,25,35,Visser - try
73,,25,37,Laidlaw - conversion
77,,25,37,Weir - sub on;Ford - sub off;Lawson - sub on;Laidlaw - sub off
78,,25,37,Ryder - sub on;Gray - sub off
80,end of second half,25,37,end of second half
