time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
11,,0,5,Fall - try
12,,0,7,Michalak - conversion
17,,0,10,Michalak - penalty goal
25,Contepomi - penalty goal,3,10,
27,Macome - sub on;Farias Cabello - sub off,3,13,Michalak - penalty goal
30,,3,16,Michalak - penalty goal
33,,3,23,Huget - try;Michalak - conversion
39,,3,28,Machenaud - try
40,end of first half,3,30,Michalak - conversion;end of first half
40,start of second half;Tuculet - sub off; - sub on,3,30,start of second half
47,,3,30,Samson - sub on;Maestri - sub off;Attoub - sub off;Domingo - sub on
55,Bordoy - sub off;Postiglioni - sub on,3,35,Mermoz - try
56,,3,37,Michalak - conversion;Szarzewski - sub off;Tolofua - sub on
58,Senatore - sub off;Baez - sub on,3,37,Fofana - sub on;Fall - sub off
62,,3,42,Huget - try
64,,3,42,Picamoles - sub off;Lauret - sub on
67,,3,47,Lapandry - try
68,,3,49,Michalak - conversion
69,,3,49,Michalak - sub off;Trinh-Duc - sub on;Machenaud - sub off;Parra - sub on
72,,3,49,Tolofua - yellow card
74,de la Vega - try;Contepomi - conversion,10,49,
79,,10,49,Szarzewski - sub on;Lapandry - sub off
80,end of second half,10,49,end of second half
