time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
3,Barnes - penalty goal,3,0,
7,,3,3,Halfpenny - penalty goal
9,Barnes - penalty goal,6,3,
13,,6,6,Halfpenny - penalty goal
16,Barnes - penalty goal,9,6,
24,,9,9,Halfpenny - penalty goal
28,,9,9,Tipuric - sub on;Warburton - sub off
34,McCabe - sub off;Faingaa - sub on,9,9,
38,Barnes - penalty goal,12,9,
40,end of first half,12,9,end of first half
40,start of second half,12,9,start of second half;Jenkins - sub off;James - sub on
49,,12,9,Charteris - sub on;RP Jones - sub off
56,Dennis - sub on;Higginbotham - sub off;Polota-Nau - sub off;Moore - sub on;Kepu - sub off;Alexander - sub on,12,9,Charteris - sub off;RP Jones - sub on
60,,12,14,RP Jones - try
61,,12,16,Halfpenny - conversion
64,Horne - try,17,16,
65,,17,16,Williams - sub on;Beck - sub off;Rees - sub off;Owens - sub on;Charteris - sub on;AW Jones - sub off
69,,17,16,Hook - sub on;Priestland - sub off
70,,17,19,Halfpenny - penalty goal
72,Timani - sub off;Simmons - sub on,17,19,
74,Barnes - penalty goal,20,19,
80,end of second half;end of half,20,19,end of second half;end of half
0,,20,19,
80,,20,19,
