time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
20,Pisi - drop goal,3,0,
22,,3,5,Ansbro - try
23,,3,7,Laidlaw - conversion
27,Pisi - penalty goal,6,7,
35,Lui - sub on;Otto - sub off,6,7,
40,end of first half;Tekori - sub on; - sub off;Mulipola - sub on;Johnston - sub off,6,7,end of first half
40,start of second half,6,7,start of second half
41,Pisi - penalty goal,9,7,
43,,9,7,Cusiter - sub off;Blair - sub on
47,,9,10,Laidlaw - penalty goal
54,,9,10,Evans - sub on;Ansbro - sub off
55,Aiono - sub on; - sub off,9,10,
56,Pisi - try,14,10,
57,Pisi - conversion,16,10,
59,,16,10,Ford - sub off;Lawson - sub on
62,,16,10,Vernon - sub off;Harley - sub on
64,Avei - sub on;Paulo - sub off,16,10,
69,,16,10,Ryder - sub on;Kellock - sub off
70,Johnston - sub on;Taulafo - sub off,16,10,
75,Johnston - sub off;Taulafo - sub on,16,10,
79,Fotuali'i - sub off;Sua - sub on,16,17,Harley - try;Laidlaw - conversion
81,end of half,16,17,end of half
