time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
3,M Steyn - penalty goal,3,0,
4,Strauss - sub on;BW du Plessis - sub off,3,0,
13,,3,3,Hernandez - penalty goal
16,Kirchner - try,8,3,
17,M Steyn - conversion,10,3,
24,M Steyn - penalty goal,13,3,
27,Coetzee - try,18,3,
28,M Steyn - conversion,20,3,
30,,20,6,Hernandez - penalty goal
31,JN du Plessis - sub off; - sub on,20,6,
35,JN du Plessis - sub on; - sub off,20,6,
40,end of first half,20,6,end of first half
40,start of second half,20,6,start of second half
42,,20,6,Leonardi - sub on;Galindo - sub off
52,Daniel - sub off; - sub on,20,6,
56,Habana - try,25,6,
57,M Steyn - conversion,27,6,
58,van der Merwe - sub on;Bekker - sub off,27,6,
60,Pienaar - sub on;Mvovo - sub off,27,6,Orlandi - sub on;Figallo - sub off;Roncero - sub off;Ayerza - sub on
65,,27,6,Vergallo - sub off;Landajo - sub on
66, - sub on;JN du Plessis - sub off,27,6,
69,Habana - sub off;Engelbrecht - sub on,27,6,Senatore - sub on;Farias Cabello - sub off;Fernandez - sub off;Rodriguez Gurruchage - sub on
80,end of second half;end of half,27,6,end of second half;end of half
0,,27,6,
80,,27,6,
