time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
11,Rodriguez Gurruchage - penalty goal,3,0,
16,Fernandez - try,8,0,
17,Rodriguez Gurruchage - conversion,10,0,
32,,10,3,M Steyn - penalty goal
35,Rodriguez Gurruchage - penalty goal;Galindo - sub off;Leonardi - sub on,13,3,
40,end of first half,13,3,end of first half
40,start of second half,13,3,start of second half
48,,13,6,M Steyn - penalty goal
49,,13,6,van der Merwe - sub on;Bekker - sub off
50,Rodriguez Gurruchage - penalty goal,16,6,
53,,16,9,M Steyn - penalty goal
54,Gonzalez Amorosino - sub on;Sanchez - sub off,16,9,
56,Vergallo - sub off;Landajo - sub on;Roncero - sub off;Ayerza - sub on,16,9,
57,,16,9,Pienaar - sub on;Habana - sub off
64,,16,14,FPL Steyn - try
65,,16,16,Daniel - sub on;Coetzee - sub off;M Steyn - conversion
68,,16,16,du Plessis - sub off; - sub on
75,Senatore - sub on;Farias Cabello - sub off,16,16,Liebenberg - sub on;Strauss - sub off
80,end of second half;end of half,16,16,end of second half;end of half
0,,16,16,
80,,16,16,
