time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
3,,0,3,M Steyn - penalty goal
17,Barnes - penalty goal,3,3,
19,,3,8,Habana - try
20,,3,10,M Steyn - conversion
25,,3,13,FPL Steyn - penalty goal
28,Barnes - penalty goal,6,13,
31,Slipper - sub on;Robinson - sub off,6,13,
33,,6,13,Mtawarira - yellow card
34,,6,13,Vermeulen - sub off; - sub on
40,end of first half,6,13,end of first half
40,start of second half,6,13,start of second half
43,,6,13, - sub off;Vermeulen - sub on
47,Barnes - penalty goal,9,13,
52,Higginbotham - sub on;Samo - sub off,9,13,Mvovo - sub on;Habana - sub off
53,,9,13,du Plessis - sub off; - sub on
54,Higginbotham - try,14,13,
55,Barnes - conversion,16,13,
57,,16,13,Louw - sub on;Coetzee - sub off
59,,16,16,FPL Steyn - penalty goal;van der Merwe - sub on;Etzebeth - sub off
62,Barnes - penalty goal,19,16,
64,Timani - sub off;Gill - sub on,19,16,
67,,19,19,M Steyn - penalty goal
68,Alexander - try,24,19,
69,Barnes - conversion,26,19,
70,Phipps - sub on;Genia - sub off,26,19,
71,Barnes - sub off;Harris - sub on;Beale - sub off;AS Faingaa - sub on,26,19,Kirchner - sub off;Goosen - sub on;M Steyn - sub off;Lambie - sub on
74,Polota-Nau - sub off;SM Faingaa - sub on;Robinson - sub on;Alexander - sub off,26,19,
75,,26,19,Strauss - sub off;Liebenberg - sub on
80,end of second half;end of half,26,19,end of second half;end of half
0,,26,19,
80,,26,19,
