time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
8,Cruden - penalty goal,3,0,
12,,3,5,Roncero - try
24,Cruden - penalty goal,6,5,
40,end of first half,6,5,end of first half
40,start of second half,6,5,start of second half
41,,6,5,Leonardi - sub on;Leguizamon - sub off
43,Messam - sub on;Vito - sub off,6,5,
49,Hore - sub on;Mealamu - sub off,6,5,
51,Cruden - penalty goal,9,5,Orlandi - sub on;Figallo - sub off;Roncero - sub off;Ayerza - sub on
58,,9,5,Farias Cabello - yellow card
61,Weepu - sub on;AL Smith - sub off,9,5,
64,Whitelock - sub on;Retallick - sub off,9,5,
66,Savea - try,14,5,
67,,14,5,Gonzalez Amorosino - sub on;Rodriguez Gurruchage - sub off
71,Jane - try,19,5,
73,Cruden - conversion,21,5,
74,Franks - sub off;Faumuina - sub on,21,5,Senatore - sub on;Farias Cabello - sub off
75,Cruden - sub off;Barrett - sub on,21,5,
76,CG Smith - sub off;BR Smith - sub on,21,5,
77,,21,5,Bosch - sub off;Landajo - sub on
81,end of second half;end of half,21,5,end of second half;end of half
0,,21,5,
81,,21,5,
