time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
2,,0,3,Hernandez - penalty goal
12,McCabe - yellow card,0,3,
24,Barnes - penalty goal,3,3,
28,,3,6,Hernandez - penalty goal
30,Slipper - sub on;Robinson - sub off; - sub off;Beale - sub on,3,6,
39,,3,6,Imhoff - sub on;Camacho - sub off
40,end of first half,3,6,end of first half
40,start of second half; - sub on;Beale - sub off,3,6,start of second half
41,,3,6,Figallo - sub off;Orlandi - sub on
48,Barnes - penalty goal,6,11,Leonardi - sub on;Leguizamon - sub off;Leonardi - try
50,,6,16,Farias Cabello - try
52,Samo - sub off;Higginbotham - sub on,6,16,
56,,6,19,Hernandez - penalty goal
59,McCabe - try,11,19,
60,Barnes - conversion,13,19,
61,,13,19,Landajo - sub off;Vergallo - sub on;Guinazu - sub off;Creevy - sub on
67, - sub off;Beale - sub on,13,19,
68,Ioane - try,18,19,
69,Barnes - conversion,20,19,
70,AS Faingaa - sub on;Barnes - sub off,20,19,
73,,20,19,Figallo - sub on;Senatore - sub on;Farias Cabello - sub off;Roncero - sub off
75,Dennis - sub off;Gill - sub on,20,19,
78,Beale - penalty goal,23,19,
80,end of second half;end of half,23,19,end of second half;end of half
0,,23,19,
80,,23,19,
