time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
5,,0,0,Romano - sub off;Retallick - sub on
7,Landajo - try,5,0,
15,,5,7,AL Smith - try;Carter - conversion
16,,5,7,Romano - sub on;Retallick - sub off
19,,5,10,Carter - penalty goal
22,,5,15,Jane - try
23,,5,17,Carter - conversion
26,Hernandez - penalty goal,8,17,
28,,8,20,Carter - penalty goal
30,,8,25,Savea - try
35,,8,25,Romano - sub off;Retallick - sub on
38,,8,30,Savea - try
39,,8,32,Carter - conversion
40,end of first half,8,32,end of first half
40,start of second half,8,32,start of second half
47,Camacho - try;Hernandez - conversion,15,32,
48,Imhoff - sub on;Agulla - sub off,15,32,Mealamu - sub on;Hore - sub off
50,,15,37,Jane - try
52,Leonardi - sub on;Leguizamon - sub off,15,37,
54,,15,37,BR Smith - sub on;CG Smith - sub off
57,Carizza - sub off;Vallejos Cinalli - sub on,15,37,AL Smith - sub off;Weepu - sub on;Franks - sub off;Faumuina - sub on
58,Creevy - sub on;Guinazu - sub off,15,42,McCaw - sub off;Cane - sub on;Cruden - sub on;Carter - sub off;Nonu - try
59,,15,44,Cruden - conversion
65,,15,47,Cruden - penalty goal
66,Rodriguez Gurruchage - sub on;Gonzalez Amorosino - sub off,15,47,
67,Figallo - sub off;Orlandi - sub on,15,47,
73,Vergallo - sub on;Rodriguez Gurruchage - sub off,15,47,
79,,15,52,Jane - try
80,end of second half;end of half,15,54,Cruden - conversion;end of second half;end of half
0,,15,54,
80,,15,54,Cruden - conversion
