time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
12,Habana - try,5,0,
13,Goosen - conversion,7,0,
20,Goosen - penalty goal,10,0,
25,,10,5,Whitelock - try
33,,10,12,AL Smith - try;Carter - conversion
34,Jantjies - sub on;Goosen - sub off,10,12,
36,Louw - sub off;Coetzee - sub on;Jantjies - penalty goal,13,12,
39,Jantjies - penalty goal,16,12,
40,end of first half,16,12,end of first half
40,start of second half,16,17,start of second half;Nonu - try
41,,16,19,Carter - conversion
42,Coetzee - sub off;Louw - sub on,16,19,
51,,16,19,Mealamu - sub on;Hore - sub off
52,,16,24,CG Smith - try
53,du Plessis - sub off; - sub on,16,26,Carter - conversion
58,,16,26,Romano - sub on;Retallick - sub off
59,Alberts - sub off;van der Merwe - sub on;Coetzee - sub on;Etzebeth - sub off,16,26,
62,,16,26,OT Franks - sub off;Nonu - sub off;Ellison - sub on;BJ Franks - sub on
63,,16,29,Carter - drop goal
64,Kirchner - sub off;Lambie - sub on,16,29,
65,,16,29,AL Smith - sub off;Weepu - sub on;Thomson - sub on;Messam - sub off
66,,16,29,Dagg - yellow card
69,,16,29,McCaw - sub off;Messam - sub on
71,,16,32,Carter - penalty goal
72,Liebenberg - sub on;Strauss - sub off,16,32,Messam - sub off;McCaw - sub on
76,de Jongh - sub on;Taute - sub off,16,32,Cruden - sub on;Carter - sub off
80,end of second half;end of half,16,32,end of second half;end of half
0,,16,32,
80,,16,32,
