time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
2,Heathcote - penalty goal,3,0,
5,,3,5,Wardle - try
6,,3,7,S Jones - conversion
8,Rokoduguni - try;Heathcote - conversion,10,7,
13,McMillan - sub off;Cook - sub on,10,7,
20,Heathcote - penalty goal,13,7,
21,Hipkiss - sub off;Lane - sub on,13,10,S Jones - penalty goal
24,Heathcote - penalty goal,16,10,
29,,16,10,Amos - sub off;DJ Evans - sub on
34,Heathcote - penalty goal,19,10,
41,,19,10,Nimmo - yellow card
42,Heathcote - penalty goal;end of first half,22,10,end of first half
40,start of second half,22,10,start of second half
42,Banahan - try,27,10,
43,Heathcote - conversion,29,10,
49,,29,10,Smith - sub on;S Jones - sub off;Davies - sub off;W Evans - sub on
52,Caldwell - sub on;Spencer - sub off,29,10,
58,,29,10,Parry - sub on;Gustafson - sub off
59,,29,10,O Evans - sub off;Williams - sub on
60,Banahan - sub off;Adamson - sub on,29,10,
62,Tanner - sub on;Sharman - sub off,29,10,
65,,29,10,Ryan - sub on;Buck - sub off;Tyler - sub on;AM Jones - sub off
67,Palma-Newport - sub on;Dowding - sub on;Perenise - sub off;Beech - sub off,29,10,Groves - yellow card
74,Rokoduguni - try,34,10,
75,Heathcote - conversion,36,10,
76,,36,10,I Jones - sub off;Brown - sub on
77,,36,15,DJ Evans - try
82,end of second half,36,15,end of second half
