time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
9,Care - yellow card,0,0,
18,Flood - penalty goal,3,0,
21,Sharples - try,8,0,
22,Flood - conversion,10,0,
25,Flood - penalty goal,13,0,
29,,13,0,Manu - yellow card
30,,13,0,Ravulo - sub off;Somoca - sub on
35,penalty try;Flood - conversion,20,0,
40,Monye - try,25,0,Ravulo - sub on;Somoca - sub off;Makutu - sub off;Matavesi - sub on;Somoca - sub on
42,end of first half,25,0,end of first half
40,Monye - try,25,0,Ravulo - sub on;Somoca - sub off;Makutu - sub off;Matavesi - sub on;Somoca - sub on
40,start of second half,25,0,start of second half;Koniferedi - sub off
42,Flood - penalty goal,28,0,
46,Vunipola - sub on;Marler - sub off,28,0,
47,Johnson - try,33,0,Naureuere - sub on;Veikoso - sub off
49,Flood - conversion,35,0,
50,Palmer - sub off;Launchbury - sub on,35,0,
52,,35,0,Ratuva - sub on;Naikatini - sub off
55,,35,5,Matawalu - try
57,Sharples - try,40,5,
58,Flood - conversion,42,5,
59,Care - sub off;Farrell - sub on;Flood - sub off;BR Youngs - sub on;Johnson - sub off;Wood - sub on;Brown - sub on;Monye - sub off,42,5,
63,Wilson - sub on;Cole - sub off,42,5,
65,Paice - sub on;TN Youngs - sub off,42,5,
67,,42,5,Manu - sub off;Saulo - sub on;Fatiaki - sub on;Wara - sub off
68,Tuilagi - try,47,5,
70,,47,5,Somoca - sub off;Makutu - sub on
72,,47,5,Votu - sub off;Bolatagane - sub on
73,,47,5,Kalou Qaraniqio - sub on;Ratuniyarawa - sub off
75,Tuilagi - try,52,5,
76,Farrell - conversion,54,5,
79,,54,10,Kalou Qaraniqio - try
80,,54,12,Matavesi - conversion
81,end of second half;end of half,54,12,end of second half;end of half
0,,54,12,
81,,54,12,
