time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
4,Michalak - penalty goal,3,0,
8,,3,3,Harris - penalty goal
12,Picamoles - try,8,3,
13,Michalak - conversion,10,3,
21,,10,6,Harris - penalty goal
28,,10,6,Robinson - sub off;Slipper - sub on
36,Michalak - penalty goal,13,6,Slipper - sub off;Robinson - sub on
39,Michalak - drop goal,16,6,
40,end of first half,16,6,end of first half
40,start of second half,16,6,start of second half
49,Kayser - sub on;Domingo - sub on;Forestier - sub off;Szarzewski - sub off,16,6,Kepu - sub off;Slipper - sub on
54,Fofana - try,21,6,
55,Michalak - conversion,23,6,Harris - sub off;Barnes - sub on
59,Mas - sub off;Debaty - sub on,23,6,Polota-Nau - sub off;Palu - sub off;Samo - sub on;Moore - sub on
60,Fritz - sub off;Huget - sub on,23,6,
63,Machenaud - sub off;Parra - sub on;penalty try,28,6,
64,Michalak - conversion;Chouly - sub on;Picamoles - sub off,30,6,
65,,30,6,Sharpe - sub off;Simmons - sub on;Ryan - sub on;Robinson - sub off
68,Vahaamahina - sub on;Nyanga Kabasele - sub off,30,6,
69,,30,6,Gill - sub on;Dennis - sub off
74,Michalak - sub off;Trinh-Duc - sub on,30,6,
75,Parra - penalty goal,33,6,
80,end of second half;end of half,33,6,end of second half;end of half
0,,33,6,
80,,33,6,
