time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
3,Carlisle - penalty goal,3,0,
6,,3,3,O Williams - penalty goal
11,,3,6,O Williams - penalty goal
13,Carlisle - penalty goal,6,6,
16,,6,11,Fenby - try
17,,6,13,O Williams - conversion
31,Schofield - yellow card,6,13,Snyman - yellow card
40,end of first half;Clarke - sub off;Walker - sub off;Goode - sub on;Howard - sub on,6,13,end of first half
40,start of second half,6,13,start of second half
49,,6,13,P Edwards - sub on;Adriaanse - sub off;Davies - sub off;R Williams - sub on
53,,6,13,Hopkins - sub off;G Thomas - sub on
54,Howard - try,11,13,
55,Carlisle - conversion,13,13,
56,de Carpentier - sub off;Best - sub on;Porter - sub off;CR Jones - sub on,13,13,
57,,13,13,Maule - sub off;Reynolds - sub on
63,,13,13,Earle - sub on;Snyman - sub off;O Williams - sub off;Owen - sub on
64,Taulava - sub on;Cowan - sub off,13,13,
66,,13,13,Wilkes - sub on;Myhill - sub off
68,Taulava - try;Carlisle - conversion,20,13,
72,,20,13,Price - sub off;J Edwards - sub on
73,Abbott - try;Carlisle - conversion,27,13,
76,,27,18,Phillips - try
79,Best - try,32,18,
80,Carlisle - conversion;end of second half,34,18,end of second half
