time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
2,Cueto - try,5,0,
6,,5,3,Mordt - penalty goal
7,,5,8,Ratuvou - try
8,,5,10,Mordt - conversion
19,penalty try,10,10,
20,Davies - conversion,12,10,
36,,12,13,Mordt - penalty goal
40,,12,18,Tomkins - try
41,end of first half,12,20,Mordt - conversion;end of first half
40,start of second half;Cliff - sub on;Peel - sub off,12,20,start of second half
43,,12,20,Stanley - sub on;Mordt - sub off
47,,12,20,Auterac - sub off;Reeves - sub on;Romano - sub off;Nieto - sub on;Sheriff - yellow card
48,Ward - sub off;Taylor - sub on;Lewis-Roberts - sub off;Cobilas - sub on;Harrison - sub on;Buckley - sub off,12,20,Fenton-Wells - sub off;Wray - sub on
50,McKenzie - try,17,20,
52,Davies - conversion,19,20,
54,Addison - sub on;Davies - sub off,19,20,
56,Cipriani - penalty goal,22,20,
57,Miller - sub on;Cipriani - sub off,22,20,
58,,22,23,Spencer - penalty goal
61,,22,23,Strettle - sub on;Ratuvou - sub off
72,Miller - penalty goal,25,23,Spurling - sub on;George - sub off
75,,25,23,Ross - sub off;George - sub on
80,end of second half,25,23,end of second half
