time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
1,,0,5,Autagavaia - try
2,,0,7,T Pisi - conversion
15,Halfpenny - penalty goal,3,7,
17,Owens - sub on;Hibbard - sub off,3,7,
28,Halfpenny - penalty goal,6,7,
32,Beck - try,11,7,
33,Halfpenny - conversion,13,7,
37,Priestland - sub on;Biggar - sub off,13,7,
41,end of first half;Evans - sub off;Charteris - sub on,13,10,T Pisi - penalty goal;end of first half
40,start of second half,13,10,start of second half
46,,13,15,TG Pisi - try
48,,13,15,JVI Johnston - sub on;CAI Johnston - sub off
49,Halfpenny - penalty goal,16,15,
54,,16,15,Williams - sub off;Leota - sub on
56,,16,18,T Pisi - penalty goal
57,,16,18,TT Paulo - sub on;Avei - sub off
59,,16,18,Tekori - sub on;TAM Paulo - sub off
61,Halfpenny - penalty goal;James - sub off;Jenkins - sub on,19,18,
65,,19,21,T Pisi - penalty goal
69,,19,21,Treviranus - sub off;Williams - sub on;Leota - sub off; - sub on
70,Warburton - sub on;Jones - sub off,19,21,
74,,19,21,Leota - sub on;Williams - sub off
76,Andrews - sub on;Jarvis - sub off,19,21,
77,,19,26,Leota - try
78,,19,26,Sua - sub on;T Pisi - sub off
80,end of second half;end of half,19,26,end of second half;end of half
0,,19,26,
80,,19,26,
