time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
2,Slade - penalty goal,3,0,
10,,3,7,Allen - try;Davies - conversion
28,Carrick-Smith - try;Slade - conversion,10,7,
31,,10,10,Davies - penalty goal
40,Dorrian - try;Slade - conversion,17,10,
41,end of first half,17,10,end of first half
40,start of second half,17,10,start of second half
42,,17,10,Bevington - sub on;M Thomas - sub off;Peers - sub on;Price - sub off;Isaacs - sub on;Gough - sub off
45,,17,13,Davies - penalty goal
50,,17,13,Webb - sub on;Habberfield - sub off
55,Slade - penalty goal,20,13,
58,Muldowney - sub on;Whitten - sub on;Carrick-Smith - sub off;Hill - sub off,20,13,
60,Clark - sub on;Yeandle - sub off,20,13,
62,Coote - sub on;Poluleuligaga - sub off;Moon - sub on;Cowan-Dickie - sub off;Tui - sub off;Brown - sub on;Tatupu - sub on;Foster - sub off,20,13,
65,,20,13,Davies - sub off;Morgan - sub on;S Williams - sub off;King - sub on;O Williams - sub off;N Thomas - sub on
66,Slade - penalty goal,23,13,
72,Blanchet - sub off;Simmonds - sub on,23,13,
78,Clark - yellow card,23,13,
80,end of second half,23,13,end of second half
