time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
12,,0,3,Cruden - penalty goal
16,,0,10,Read - try;Cruden - conversion
19,,0,13,Cruden - penalty goal
25,Sgarbi - try,5,13,
27,Orquera - conversion,7,13,
41,end of first half,7,13,end of first half
40,start of second half,7,13,start of second half
42,,7,13,Mealamu - sub off;Coles - sub on
44,,7,16,Cruden - penalty goal
46,,7,16,Franks - sub on;Faumuina - sub off
48,Barbieri - sub on;Favaro - sub off,7,16,
49,,7,21,Nonu - try
50,Lo Cicero Vaina - sub off;Giazzon - sub on;Ghiraldini - sub off;de Marchi - sub on,7,23,Cruden - conversion;Williams - sub off;Whitelock - sub on
52,Orquera - drop goal,10,23,
54,,10,23,Jane - sub on;Barrett - sub off
56,Cittadini - sub on;Castrogiovanni - sub off;Botes - sub on;Gori - sub off,10,23,
60,Geldenhuys - sub on;Pavanello - sub off,10,23,
61,Masi - sub off;McLean - sub on,10,23,
63,,10,23,AL Smith - sub off;Kerr-Barlow - sub on
64,,10,23,Crockett - sub on;Woodcock - sub off
65,M Bergamasco - sub on;Zanni - sub off,10,23,
67,,10,28,Jane - try
68,,10,30,Cruden - conversion
73,,10,35,Savea - try
75,,10,40,Savea - try
76,,10,42,Cruden - conversion
80,end of second half;end of half,10,42,end of second half;end of half
0,,10,42,
80,,10,42,
