time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
6,Owen - penalty goal,3,0,
11,Reynolds - sub on;K Phillips - sub off,3,0,
15,,3,5,Hamilton - try
16,,3,7,Davies - conversion
26,Murphy - sub off;D Thomas - sub on,3,10,Davies - penalty goal
27,,3,10,Hobbs - yellow card
31,,3,13,Davies - penalty goal
34,,3,13,Young - sub off;Ma'afu - sub on
35,penalty try;Owen - conversion,10,13,
39,,10,13,Young - sub on;Ma'afu - sub off
41,LB Williams - penalty goal;end of first half,13,13,end of first half
40,start of second half,13,13,start of second half;Lewis - sub off;LD Williams - sub on;Filise - sub on;Harford - sub off
43,,13,16,Davies - penalty goal
49,Owen - sub off;A Thomas - sub on,13,16,
52,,13,16,R Williams - sub on;Breeze - sub off
55,Adriaanse - sub on;Lee - sub off;Hopkins - sub off;John - sub on,13,16,
60,,13,16,Sweeney - sub on;Davies - sub off
61,Ball - sub off;Galley - sub on;E Phillips - sub on;Snyman - sub off,13,16,
64,A Thomas - penalty goal,16,16,
68,A Thomas - penalty goal;Davies - sub on;R Williams - sub off,19,16,Hill - sub on;Young - sub off;O Williams - sub off;Patchell - sub on
70,,19,16,Hamilton - yellow card
71,A Thomas - penalty goal,22,16,Hamilton - sub off;Watts-Jones - sub on
80,end of second half,22,16,end of second half
