time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
6,,0,3,Lambie - penalty goal
9,Laidlaw - penalty goal,3,3,
13,,3,6,Lambie - penalty goal
20,,3,11,Strauss - try
22,Gray - sub off;Kellock - sub on,3,11,
31,,3,14,Lambie - penalty goal
41,end of first half,3,14,end of first half
40,start of second half,3,14,start of second half
45,,3,19,Strauss - try
46,,3,21,Lambie - conversion
47,Blair - sub off;Pyrgos - sub on,3,21,
50,Pyrgos - try,8,21,
51,Laidlaw - conversion,10,21,
52,,10,21,van der Linde - sub on;du Plessis - sub off
53,,10,21,Coetzee - sub on;Alberts - sub off
61,,10,21,Steenkamp - sub off;HS van der Merwe - sub on
68,Murray - sub off;Laidlaw - sub off;Ford - sub off;Hall - sub on;Jackson - sub on;Cross - sub on,10,21,
69,,10,21,PR van der Merwe - sub on;Kruger - sub off
73,,10,21,Lambie - sub off;Steyn - sub on
76,,10,21,Strauss - sub off;Brits - sub on;PR van der Merwe - yellow card
80,end of second half;end of half,10,21,end of second half;end of half
0,,10,21,
80,,10,21,
