time,hometeam,homescore,awayscore,awayteam
0,start of first half,0,0,start of first half
10,,0,3,O'Connor - penalty goal
11,Tebaldi - try,5,3,
27,,5,6,O'Connor - penalty goal
34,,5,9,O'Connor - penalty goal
40,Halangahu - penalty goal,8,9,
41,end of first half,8,9,end of first half
40,start of second half,8,9,start of second half
41,Cazzola - sub off;Caffini - sub on,8,9,
44,Halangahu - try,13,9,
48,,13,12,O'Connor - penalty goal
52,Perugini - sub on;Aguero - sub off,13,12,
53,,13,12,Brady - sub off;Herring - sub on
54,van Schalkwyk - try,18,12,
57,,18,12,Black - sub off;Court - sub on
58,,18,17,Wallace - try
62,Pratichetti - yellow card,18,17,
63,Ferrarini - sub off;Cattina - sub on;Tripodi - sub on;Redolfini - sub off,18,20,O'Connor - penalty goal
65,van Schalkwyk - try;Halangahu - conversion,25,20,
75,,25,27,penalty try;O'Connor - conversion
80,end of second half,25,27,end of second half
