Time,England,Home,Away,Fiji
0,start of first half,0,0,start of first half
9,Care - yellow card,0,0,
18,Flood - penalty goal,3,0,
21,Sharples - try,8,0,
22,Flood - conversion,10,0,
25,Flood - penalty goal,13,0,
29,,0,0,Manu - yellow card
30,,0,0,Ravulo - sub off;Somoca - sub on
35,penalty try;Flood - conversion,20,0,
40,Monye - try,25,0,Ravulo - sub on;Somoca - sub off;Makutu - sub off;Matavesi - sub on;Somoca - sub on
42,end of first half,0,0,end of first half
40,Monye - try,25,0,Ravulo - sub on;Somoca - sub off;Makutu - sub off;Matavesi - sub on;Somoca - sub on
40,start of second half,0,0,start of second half;Koniferedi - sub off
42,Flood - penalty goal,28,0,
46,Vunipola - sub on;Marler - sub off,0,0,
47,Johnson - try,33,0,Naureuere - sub on;Veikoso - sub off
49,Flood - conversion,35,0,
50,Palmer - sub off;Launchbury - sub on,0,0,
52,,0,0,Ratuva - sub on;Naikatini - sub off
55,,35,5,Matawalu - try
57,Sharples - try,40,5,
58,Flood - conversion,42,5,
59,Care - sub off;Farrell - sub on;Flood - sub off;BR Youngs - sub on;Johnson - sub off;Wood - sub on;Brown - sub on;Monye - sub off,0,0,
63,Wilson - sub on;Cole - sub off,0,0,
65,Paice - sub on;TN Youngs - sub off,0,0,
67,,0,0,Manu - sub off;Saulo - sub on;Fatiaki - sub on;Wara - sub off
68,Tuilagi - try,47,5,
70,,0,0,Somoca - sub off;Makutu - sub on
72,,0,0,Votu - sub off;Bolatagane - sub on
73,,0,0,Kalou Qaraniqio - sub on;Ratuniyarawa - sub off
75,Tuilagi - try,52,5,
76,Farrell - conversion,54,5,
79,,54,10,Kalou Qaraniqio - try
80,,54,12,Matavesi - conversion
81,end of second half;end of half,0,0,end of second half;end of half
0,,0,0,
81,,0,0,
