Time,Italy,Home,Away,Tonga
0,start of first half,0,0,start of first half
3,,0,3,'Apikotoa - penalty goal
6,Cittadini - try,5,3,
10,,5,6,'Apikotoa - penalty goal
13,Burton - penalty goal,8,6,
23,Parisse - yellow card,0,0,
24,,8,9,'Apikotoa - penalty goal
27,Burton - penalty goal,11,9,
33,,11,14,Taumalolo - try
34,,11,16,'Apikotoa - conversion
39,Ghiraldini - try,16,16,
40,Burton - conversion;end of first half,18,16,end of first half
40,start of second half,0,0,start of second half
52,Burton - penalty goal,21,16,
60,,0,0,Lokotui - yellow card
62,Pavanello - sub on;Castrogiovanni - sub on;Geldenhuys - sub off;Cittadini - sub off,0,0,Kaho - sub on;'Aulika - sub off;Vaiomounga - sub off;Mailau - sub on
63,penalty try,26,16,
64,Burton - conversion;Favaro - sub on;Zanni - sub off,28,16,Fatafehi - sub on;Piukala - sub off
67,,28,21,Vainikolo - try
68,,28,23,'Apikotoa - conversion
71,Ghiraldini - sub off;Giazzon - sub on;de Marchi - sub on;Lo Cicero Vaina - sub off;Gori - sub on; - sub off,0,0,Iongi - sub on;Hufanga - sub off;Taumalolo - sub off;Tonga'uiha - sub on
73,,0,0,Lilo - yellow card
75,,0,0,T-Pole - sub on;Lokotui - sub off;'Apikotoa - sub off;Fisilau - sub on
78,,0,0,Ma'asi - sub on;Kaho - sub off
80,end of second half;end of half,0,0,end of second half;end of half
0,,0,0,
80,,0,0,
