Time,Wales,Home,Away,Argentina
0,start of first half,0,0,start of first half
3,,0,3,Contepomi - penalty goal
5,Halfpenny - penalty goal,3,3,
9,,3,6,Sanchez - drop goal
13,Halfpenny - penalty goal,6,6,Tuculet - sub on;Contepomi - sub off
23,Hook - sub on;Roberts - sub off,0,0,
26,Halfpenny - penalty goal,9,6,
39,McCusker - sub on;Jones - sub off,0,0,
40,end of first half,0,0,end of first half
40,start of second half,0,0,start of second half
45,,0,0,Agulla - sub on;Hernandez - sub off
47,Halfpenny - penalty goal,12,6,
48,,0,0,Guinazu - sub off;Creevy - sub on
51,,12,9,Sanchez - drop goal
54,,12,16,Imhoff - try;Sanchez - conversion
56,Knoyle - sub off;Phillips - sub on,0,0,Leonardi - sub on;Senatore - sub off
59,,12,21,Camacho - try
60,James - sub on;Jarvis - sub off;Rees - sub off;Hibbard - sub on,12,23,Sanchez - conversion
64,,0,0,Vallejos Cinalli - sub on;Farias Cabello - sub off
66,,0,0,Vergallo - sub on;Landajo - sub off;Gomez - sub on;Figallo - sub off
68,Jenkins - sub off;Bevington - sub on,0,0,
70,Tipuric - sub on;Warburton - sub off,0,0,
71,,12,26,Sanchez - penalty goal
78,,0,0,Ayerza - sub off;Postiglioni - sub on
80,end of second half;end of half,0,0,end of second half;end of half
0,,0,0,
80,,0,0,
