player,team,from,to,played,start,sub,pts,tries,conv,pens,drop,gfm,won,lost,draw
GM Gregan,Aust,1994,2007,139,133,6,99,18,0,0,3,0,93,44
BG O'Driscoll,Ire/Lions,1999,2012,126,125,1,245,46,0,0,5,0,75,50
RJR O'Gara,Ire/Lions,2000,2012,126,87,39,1075,16,175,200,15,0,72,51
J Leonard,Eng/Lions,1990,2004,119,104,15,5,1,0,0,0,0,89,28
F Pelous,Fra,1995,2007,118,106,12,40,8,0,0,0,0,79,38
RH McCaw,NZ,2001,2012,113,107,6,95,19,0,0,0,0,100,12
NC Sharpe,Aust,2002,2012,112,105,7,40,8,0,0,0,0,67,43
PJP Sella,Fra,1982,1995,111,110,1,125,30,0,0,0,0,70,36
JW Smit,SA,2000,2011,111,94,17,40,8,0,0,0,0,69,40
SM Jones,Lions/Wales,1998,2011,110,91,19,970,7,160,198,7,0,44,63
V Matfield,SA,2001,2011,110,105,5,35,7,0,0,0,0,69,39
GB Smith,Aust,2000,2009,110,92,18,45,9,0,0,0,0,65,43
CD Paterson,Scot,1999,2011,109,96,13,809,22,90,170,3,0,43,65
JJ Hayes,Ire/Lions,2000,2011,107,100,7,10,2,0,0,0,0,67,37
ME Williams,Lions/Wales,1996,2012,104,88,16,73,14,0,0,1,0,45,56
G Thomas,Lions/Wales,1995,2007,103,97,6,205,41,0,0,0,0,51,51
SJ Larkham,Aust,1996,2007,102,97,5,135,25,2,0,2,0,68,31
PC Montgomery,SA,1997,2008,102,90,12,893,25,153,148,6,0,67,34
DI Campese,Aust,1982,1996,101,100,1,315,64,8,7,2,0,67,32
A Troncon,Italy,1994,2007,101,94,7,95,19,0,0,0,0,33,67
KF Mealamu,NZ,2002,2012,100,68,32,60,12,0,0,0,0,85,14
JM Muliaina,NZ,2003,2011,100,95,5,170,34,0,0,0,0,84,16
R Ibanez,Fra,1996,2007,98,75,23,40,8,0,0,0,0,63,34
PA Stringer,Ire,2000,2011,98,81,17,30,6,0,0,0,0,67,30
JP Wilkinson,Eng/Lions,1998,2011,97,85,12,1246,7,169,255,36,0,67,28
CL Charvis,Lions/Wales,1996,2007,96,84,12,110,22,0,0,0,0,43,51
GD Jenkins,Lions/Wales,2002,2012,96,68,28,20,4,0,0,0,0,41,53
A Lo Cicero Vaina,Italy,2000,2012,96,73,23,40,8,0,0,0,0,30,65
M Bortolami,Italy,2001,2012,94,82,12,35,7,0,0,0,0,28,65
S Blanco,Fra,1980,1991,93,93,0,233,38,6,21,2,0,54,36
DF O'Callaghan,Ire/Lions,2003,2012,93,69,24,5,1,0,0,0,0,51,38
M Bergamasco,Italy,1998,2012,92,81,11,75,15,0,0,0,0,29,63
DW Carter,NZ,2003,2012,92,87,5,1360,29,237,241,6,0,81,10
SBT Fitzpatrick,NZ,1986,1997,92,91,1,55,12,0,0,0,0,74,16
MJ Giteau,Aust,2002,2011,92,79,13,684,29,103,107,4,0,51,39
MO Johnson,Eng/Lions,1993,2003,92,90,2,10,2,0,0,0,0,71,19
GO Llewellyn,Wales,1989,2004,92,82,10,24,5,0,0,0,0,38,54
ME O'Kelly,Ire,1997,2009,92,80,12,40,8,0,0,0,0,51,41
CC Petre,Rom,2001,2012,92,83,9,30,6,0,0,0,0,50,40
TD Woodcock,NZ,2002,2012,92,83,9,40,8,0,0,0,0,78,13
NR Jenkins,Lions/Wales,1991,2002,91,84,7,1090,11,131,248,10,0,46,43
PJ O'Connell,Ire/Lions,2002,2012,91,85,6,30,6,0,0,0,0,51,38
R Underwood,Eng/Lions,1984,1996,91,91,0,215,50,0,0,0,0,58,31
SM Williams,Lions/Wales,2000,2011,91,87,4,300,60,0,0,0,0,42,46
ML Castrogiovanni,Italy,2002,2012,89,67,22,55,11,0,0,0,0,27,61
OCC Magne,Fra,1997,2007,89,79,10,70,14,0,0,0,0,59,28
SM Parisse,Italy,2002,2012,89,86,3,48,9,0,0,1,0,26,62
JH van der Westhuizen,SA,1993,2003,89,78,11,190,38,0,0,0,0,60,28
LBN Dallaglio,Eng/Lions,1995,2007,88,73,15,85,17,0,0,0,0,62,24
M Bergamasco,Italy,2002,2012,87,80,7,256,17,12,49,0,0,22,64
S Murray,Scot,1997,2007,87,84,3,15,3,0,0,0,0,31,55
L Arbizu,Arg,1990,2005,86,83,3,188,17,14,14,11,0,41,44
JA Eales,Aust,1991,2001,86,86,0,173,2,31,34,0,0,66,18
J Ferreira,Port,1993,2007,86,81,5,15,3,0,0,0,0,42,40
RA Martin,Arg,1994,2003,86,77,9,90,18,0,0,0,0,44,41
JWC Roff,Aust,1995,2004,86,79,7,244,30,20,18,0,0,61,23
D Traille,Fra,2001,2011,86,71,15,128,14,8,12,2,0,55,29
AR Jones,Lions/Wales,2003,2012,85,74,11,10,2,0,0,0,0,40,42
MJS Dawson,Eng/Lions,1995,2006,84,59,25,111,18,6,3,0,0,53,30
ME Ledesma Arocena,Arg,1996,2011,84,67,17,15,3,0,0,0,0,42,41
S Marconnet,Fra,1998,2011,84,58,26,15,3,0,0,0,0,49,34
GPJ Townsend,Lions/Scot,1993,2003,84,77,7,164,17,8,14,7,0,34,48
MRL Blair,Scot,2002,2012,83,47,36,35,7,0,0,0,0,33,50
C Checchinato,Italy,1990,2004,83,73,10,105,21,0,0,0,0,31,51
BG Habana,SA,2004,2012,83,81,2,235,47,0,0,0,0,53,27
