date,stadium,home_team,away_team,home_tries,home_penalties,home_conversions,home_drop_goals,away_tries,away_penalties,away_conversions,away_drop_goals
1993-05-11,Lisbon,Portugal,Belgium,1,1,0,0,0,1,0,0
1993-05-11,Lisbon,Spain,Switzerland,6,2,2,0,0,0,0,0
1993-05-13,Lisbon,Belgium,Spain,0,2,0,0,11,0,6,0
1993-05-13,Lisbon,Portugal,Switzerland,4,2,3,0,0,0,0,0
1993-05-16,Lisbon,Portugal,Spain,0,5,0,0,6,0,2,1
1993-05-25,Sopot,Georgia,Russia,0,3,0,0,0,5,0,0
1993-05-27,Sopot,Poland,Georgia,2,3,2,0,0,2,0,0
1993-06-12,Suva,Fiji,Tonga,1,2,0,0,4,0,2,0
1993-07-03,Nairobi,Arabian Gulf,Namibia,2,2,2,0,9,1,8,0
1993-07-03,Nairobi,Kenya,Zimbabwe,1,0,1,0,5,3,4,0
1993-07-07,Nairobi,Arabian Gulf,Zimbabwe,2,3,1,0,7,3,3,0
1993-07-07,Nairobi,Kenya,Namibia,0,3,0,0,9,1,6,0
1993-07-10,Nairobi,Namibia,Zimbabwe,5,2,5,0,1,3,1,0
1993-07-17,Nuku A'lofa,Tonga,Fiji,2,0,0,0,2,1,1,0
1993-10-02,Asuncion,Paraguay,Uruguay,0,1,0,0,9,6,2,0
1993-10-09,Montevideo,Uruguay,Chile,1,3,0,0,0,2,0,0
1993-10-11,Buenos Aires,Argentina,Chile,10,2,7,0,1,0,1,0
1993-10-16,Buenos Aires,Argentina,Paraguay,8,1,4,0,0,1,0,0
1993-10-23,Montevideo,Uruguay,Argentina,1,1,1,0,1,4,1,0
1993-10-26,Tunis,Tunisia,Ivory Coast,1,3,1,0,1,3,1,1
1993-10-30,Tunis,Ivory Coast,Morocco,2,1,1,0,0,1,0,0
1994-03-12,Hamilton,Bermuda,United States of America,0,1,0,0,9,1,6,0
1994-05-02,Bucharest,Romania,Germany,8,2,7,0,0,2,0,0
1994-05-07,Bucharest,Romania,Russia,4,2,2,0,0,0,0,0
1994-05-18,Viadana,Italy,Czech Republic,16,0,12,0,1,1,0,0
1994-05-18,Lisbon,Portugal,Wales,1,2,0,0,16,0,11,0
1994-05-21,Calvisano,Italy,Netherlands,8,3,7,0,0,3,0,0
1994-05-21,Madrid,Spain,Wales,0,0,0,0,7,3,5,0
1994-05-28,Madrid,Spain,Portugal,4,3,3,0,2,3,0,0
1994-05-28,Long Beach,United States of America,Argentina,3,1,2,0,3,3,2,0
1994-06-14,Casablanca,Morocco,Ivory Coast,3,0,1,0,0,3,0,0
1994-06-14,Casablanca,Namibia,Zimbabwe,4,1,1,0,2,2,2,0
1994-06-16,Casablanca,Ivory Coast,Namibia,1,2,1,0,0,4,0,0
1994-06-16,Casablanca,Morocco,Zimbabwe,0,3,0,0,2,3,1,0
1994-06-18,Casablanca,Ivory Coast,Zimbabwe,3,0,1,0,1,1,1,0
1994-06-18,Casablanca,Morocco,Namibia,2,2,0,0,1,3,1,0
1994-06-20,Buenos Aires,Argentina,United States of America,2,1,0,1,1,2,0,0
1994-09-17,Bucharest,Romania,Wales,0,3,0,0,1,3,1,0
1994-10-01,Catania,Italy,Romania,0,8,0,0,0,2,0,0
1994-10-12,Cardiff,Wales,Italy,1,7,0,1,1,4,1,0
1994-10-22,Kuala Lumpur,Chinese Taipei,Japan XV,1,0,0,0,8,2,5,0
1994-10-23,Kuala Lumpur,Hong Kong,Korea,1,4,0,0,3,3,2,0
1994-10-24,Kuala Lumpur,Japan XV,Sri Lanka,10,1,7,0,0,1,0,0
1994-10-25,Kuala Lumpur,Hong Kong,Thailand,14,1,10,0,0,0,0,0
1994-10-26,Kuala Lumpur,Malaysia,Japan XV,0,3,0,0,15,2,8,0
1994-10-27,Kuala Lumpur,Hong Kong,Singapore,26,0,17,0,1,2,1,0
1994-10-29,Kuala Lumpur,Chinese Taipei,Hong Kong,2,3,2,1,12,2,7,0
1994-10-29,Kuala Lumpur,Japan,Korea,2,4,2,0,1,2,0,0
1992-10-01,Rome,Italy,Romania,3,1,2,0,0,1,0,0
1993-02-14,Madrid,Spain,Italy,0,0,0,0,6,4,5,0
1993-04-17,Coimbra,Portugal,Italy,1,2,0,0,5,2,1,0
1993-10-17,Brive la Gaillarde,France,Romania,6,3,6,0,0,0,0,0
1993-11-06,Moscow,Russia,Italy,1,4,1,0,3,3,3,0
1993-11-11,Treviso,Italy,France XV,1,3,1,0,0,3,0,0
1994-05-07,Bucharest,Romania,Russia,4,2,2,0,0,0,0,0
1994-05-07,Parma,Italy,Spain,8,2,8,0,2,1,1,0
1994-05-14,Bucharest,Romania,Italy,1,5,0,2,0,4,0,0
1993-01-16,Twickenham,England,France,1,3,1,0,2,1,1,0
1993-01-16,Murrayfield,Scotland,Ireland,2,1,1,0,0,1,0,0
1993-02-06,Parc des Princes,France,Scotland,1,2,0,0,0,1,0,0
1993-02-06,Cardiff,Wales,England,1,1,1,0,0,2,0,1
1993-02-20,Lansdowne Road,Ireland,France,0,2,0,0,2,2,1,1
1993-02-20,Murrayfield,Scotland,Wales,1,5,0,0,0,0,0,0
1993-03-06,Twickenham,England,Scotland,3,3,1,0,0,3,0,1
1993-03-06,Cardiff,Wales,Ireland,1,3,0,0,1,3,1,1
1993-03-20,Parc des Princes,France,Wales,3,3,1,0,1,1,1,0
1993-03-20,Lansdowne Road,Ireland,England,1,2,0,2,0,1,0,0
1993-02-20,Treviso,Italy,France XV,0,4,0,0,1,2,0,1
1993-05-20,Bucharest,Romania,France,2,2,2,0,4,3,4,0
1993-06-26,Durban,South Africa,France,1,5,0,0,1,3,0,2
1993-07-03,Johannesburg,South Africa,France,1,4,0,0,0,4,0,2
1993-05-15,Tucuman,Argentina,Japan,4,2,2,0,2,5,1,0
1993-05-22,Buenos Aires,Argentina,Japan,5,4,4,0,1,5,0,0
1993-10-16,Cardiff,Wales,Japan,9,0,5,0,1,0,0,0
1993-05-22,Bulawayo,Zimbabwe,Wales,1,3,0,0,4,2,3,1
1993-05-29,Harare,Zimbabwe,Wales,1,2,1,0,6,2,3,0
1993-06-05,Windhoek,Namibia,Wales,2,3,2,0,5,3,2,0
1993-06-12,Christchurch,New Zealand,British and Irish Lions,1,5,0,0,0,6,0,0
1993-06-26,Wellington,New Zealand,British and Irish Lions,1,0,1,0,1,4,0,1
1993-07-03,Auckland,New Zealand,British and Irish Lions,3,3,3,0,1,2,1,0
1993-07-17,Dunedin,New Zealand,Australia,2,5,0,0,1,1,1,0
1993-10-09,Calgary,Canada,Australia,2,2,0,0,6,3,2,0
1993-10-30,Bordeaux,France,Australia,1,1,1,2,1,2,1,0
1993-11-06,Parc des Princes,France,Australia,0,1,0,0,2,4,1,0
1993-07-31,Auckland,New Zealand,Samoa,2,7,2,0,1,2,1,0
1993-07-31,Sydney,Australia,South Africa,0,4,0,0,3,0,2,0
1993-08-14,Brisbane,Australia,South Africa,3,3,2,0,2,2,2,0
1993-08-21,Sydney,Australia,South Africa,1,4,1,0,2,0,1,0
1993-11-06,Buenos Aires,Argentina,South Africa,2,4,2,0,4,1,3,0
1993-11-13,Buenos Aires,Argentina,South Africa,2,2,2,1,7,3,4,0
1993-07-04,Brisbane,Australia,Tonga,7,3,4,0,2,0,2,0
1993-11-10,Cardiff,Wales,Canada,0,8,0,0,2,4,2,0
1993-11-20,Murrayfield,Scotland,New Zealand,0,5,0,0,7,2,5,0
1993-11-27,Twickenham,England,New Zealand,0,4,0,1,0,3,0,0
