date,home_team,away_team,home_tries,home_penalties,home_conversions,home_drop_goals,away_tries,away_penalties,away_conversions,away_drop_goals
2007-09-08,Australia,Japan,10,2,10,0,0,1,0,0
2007-09-12,Fiji,Japan,4,3,3,0,3,4,2,0
2007-11-03,Spain,Czech Republic,6,2,5,0,0,0,0,0
2007-05-26,Fiji,Japan,4,2,0,2,2,1,1,0
2007-05-11,Kazakhstan,Arabian Gulf,6,2,4,0,0,3,0,0
2007-05-26,Argentina,Ireland,1,4,1,1,2,2,2,0
2007-05-19,Poland,Malta,4,1,4,0,0,1,0,0
2007-06-09,Argentina,Italy,2,4,1,0,0,2,0,0
2007-11-03,Sweden,Denmark,1,1,0,0,0,2,0,0
2007-10-20,South Africa,England,0,5,0,0,0,2,0,0
2007-06-10,Romania,Italy 'A',2,3,0,0,1,1,0,0
2007-06-09,Australia  'A',Japan,9,1,9,0,1,1,1,0
2007-05-23,Scotland 'A'',United States,1,2,1,0,0,3,0,0
2007-06-16,Samoa,Japan,1,2,1,0,0,1,0,0
2007-10-07,Argentina,Scotland,1,3,1,1,1,2,1,0
2007-09-07,Argentina,France,1,4,0,0,0,4,0,0
2007-12-01,Romania,Portugal,2,3,2,0,1,0,0,1
2007-08-11,France,England,2,3,1,0,0,4,0,1
2007-09-09,Scotland,Portugal,6,0,8,0,1,1,1,0
2007-11-24,South Africa,Wales,5,1,3,0,2,0,1,0
2007-03-24,Cyprus,Greece,5,2,4,0,0,1,0,0
2007-09-12,Italy,Romania,2,4,1,0,2,2,1,0
2007-08-18,Botswana,Tanzania,5,3,5,1,2,0,2,0
2007-06-16,England  Counties,Russia,2,3,2,0,2,3,1,0
2007-10-27,Slovenia,Finland,4,2,3,0,0,1,0,0
2007-06-09,New Zealand,France,7,2,5,0,1,1,1,0
2007-06-16,South Africa,Australia,1,3,1,2,1,4,1,0
2007-10-19,Argentina,France,5,1,3,0,1,1,1,0
2007-10-27,Hungary,Norway,1,0,0,0,0,1,0,0
2007-08-26,France,Wales,4,1,4,0,1,0,1,0
2007-10-14,South Africa,Argentina,4,3,4,0,1,2,1,0
2007-09-23,Australia,Fiji,7,3,4,1,2,0,1,0
2007-05-27,Hong Kong,Korea,3,2,3,0,2,2,2,0
2007-08-18,Canada,Portugal,6,2,3,0,2,0,1,0
2007-09-19,Italy,Portugal,3,4,2,0,1,0,0,0
2007-08-11,Scotland,Ireland,5,0,3,0,2,3,1,0
2007-05-05,Slovenia,Luxembourg,3,1,2,1,1,3,1,0
2007-09-16,Samoa,Tonga,0,5,0,0,1,4,1,0
2007-11-04,Russia,Romania,3,1,2,0,0,4,0,0
2007-10-06,France,New Zealand,2,2,2,0,2,2,1,0
2007-08-18,Italy,Japan,5,1,4,0,2,0,1,0
2007-05-25,New Zealand  Maori,Canada,7,0,7,0,3,2,1,0
2007-09-29,Australia,Canada,6,1,2,0,0,2,0,0
2007-12-15,Argentina,Chile,9,0,7,0,1,1,0,0
2007-09-22,South Africa,Tonga,4,2,2,0,3,1,2,0
2007-09-22,Argentina,Namibia,5,2,5,0,0,1,0,0
2007-06-02,South Africa,England,7,1,6,0,1,5,1,0
2007-09-12,Tonga,United States,3,2,2,0,2,1,1,0
2007-09-26,Uganda,Kenya,3,3,0,0,2,0,1,0
2007-09-18,Scotland,Romania,6,0,6,0,0,0,0,0
2007-06-23,New Zealand,South Africa,2,3,2,1,2,3,1,0
2007-03-24,France  Universities,Poland,6,2,11,0,0,0,0,0
2007-07-14,New Zealand,South Africa,3,4,3,0,0,2,0,0
2007-09-15,Australia,Wales,4,1,3,1,2,2,2,0
2007-09-29,Germany,Switzerland,7,0,7,0,2,1,0,0
2007-09-08,New Zealand,Italy,11,1,9,0,2,0,2,0
2007-11-10,Belgium,Germany,4,2,3,0,2,2,1,0
2007-11-24,Germany,Moldova,4,2,4,0,1,0,0,0
2007-09-30,France,Georgia,6,3,5,0,1,0,1,0
2007-10-27,Croatia,Poland,0,5,0,0,1,3,0,0
2007-06-02,Australia 'A',Samoa,3,2,3,0,2,1,1,0
2007-11-10,Croatia,Malta,4,0,2,0,0,3,0,0
2007-06-09,South Africa,Samoa,5,2,2,0,1,1,0,0
2007-07-07,Australia,South Africa,3,2,2,0,2,1,2,0
2007-09-09,Ireland,Namibia,5,1,2,0,2,1,2,0
2007-05-26,Uganda,Kenya,4,0,3,1,1,1,1,0
2007-09-06,France  Amateur,Belgium,4,1,2,0,18,2,1,0
2007-05-18,England Saxons,United States,8,0,3,0,0,1,0,0
2007-09-26,Samoa,United States,3,1,3,0,2,3,1,0
2007-08-15,South Africa,Namibia,9,2,12,0,1,2,1,0
2007-09-14,South Africa,England,3,5,3,0,0,0,0,0
2007-09-26,Georgia,Namibia,3,3,3,0,0,0,0,0
2007-09-30,South Africa,Usa,9,1,8,0,2,1,1,0
2007-06-02,Japan,Tonga,2,2,0,2,3,0,1,0
2007-05-12,Thailand,Pakistan,5,2,3,0,0,0,0,0
2007-09-23,New Zealand,Scotland,6,2,2,0,0,0,0,0
2007-09-09,South Africa,Samoa,8,3,5,0,1,0,1,0
2007-02-24,Germany,Welsh Districts,3,1,3,0,2,1,0,0
2007-09-15,New Zealand,Portugal,8,0,14,0,1,1,1,1
2007-09-16,Fiji,Canada,4,1,3,0,1,3,1,0
2007-08-18,France,England,1,5,1,0,0,3,0,0
2007-10-06,England,Australia,0,4,0,0,1,1,1,0
2007-10-27,Denmark,Serbia,2,1,2,0,2,1,2,0
2007-09-25,Canada,Japan,2,0,1,0,2,0,1,0
2007-10-07,South Africa,Fiji,5,2,3,0,2,2,2,0
2007-08-24,Ireland,Italy,2,2,2,1,2,1,2,1
2007-09-29,Fiji,Wales,4,4,3,0,5,1,3,0
2007-10-06,Armenia,Switzerland,3,2,2,1,2,1,1,0
2007-09-22,England,Samoa,4,4,3,2,1,5,1,0
2007-07-21,New Zealand,Australia,1,7,0,0,0,3,0,1
2007-09-28,England,Tonga,4,2,2,2,2,2,2,0
2007-08-11,Kenya,Uganda,6,1,1,0,2,1,1,0
2007-09-29,New Zealand,Romania,9,0,10,0,1,1,0,0
2007-09-20,Wales,Japan,6,1,7,0,2,2,1,0
2007-06-24,Junior All  Blacks,Japan,7,1,4,0,0,1,0,0
2007-09-25,Romania,Portugal,2,0,2,0,1,1,1,0
2007-09-01,Armenia,Sweden,1,1,1,2,2,0,1,0
2007-05-19,Portugal,Czech Republic,2,3,2,0,0,1,0,0
2007-09-11,Argentina,Georgia,4,3,2,0,0,1,0,0
2007-10-06,England,France,1,2,0,1,0,3,0,0
2007-05-26,Slovenia,Finland,2,3,1,0,0,2,0,0
2007-09-30,Kenya,Ivory Coast,1,2,0,3,2,1,2,0
2007-09-29,Scotland,Italy,0,6,0,0,1,3,1,0
2007-10-27,Luxembourg,Bosnia-Herzegovina,2,6,1,0,0,1,0,0
2007-09-26,Madagascar,Ivory Coast,2,5,2,1,4,1,1,0
2007-09-21,France,Ireland,2,2,0,0,0,0,0,1
2007-08-18,Wales,Argentina,3,2,3,0,2,1,1,0
2007-09-09,Wales,Canada,5,3,4,0,3,0,1,0
2007-05-27,Junior All  Blacks,Samoa,5,0,3,0,1,1,1,0
2007-06-30,Australia,New Zealand,2,2,2,0,2,1,1,0
2007-05-12,Greece,Slovakia,2,2,2,0,2,1,2,0
2007-09-30,Uganda,Madagascar,5,5,3,0,1,2,0,0
2007-06-02,Argentina,Ireland,1,3,1,0,0,0,0,0
2007-06-02,Canada,United States,6,1,7,0,2,0,0,0
2007-06-16,New Zealand,Canada,8,0,7,0,1,2,1,0
2007-06-09,Australia,Fiji,7,1,3,0,0,0,0,0
2007-08-25,South Africa,Scotland,3,2,3,0,0,1,0,0
2007-09-15,Ireland,Georgia,2,0,2,0,1,1,1,0
2007-06-16,Tonga,Fiji,3,2,0,0,2,1,1,0
2007-11-17,Malta,Latvia,2,2,0,0,2,1,0,0
2007-06-23,Samoa,Tonga,7,1,4,0,0,1,0,0
2007-09-16,France,Namibia,8,0,11,0,1,0,1,1
2007-08-04,England,Wales,8,1,7,0,1,0,0,0
2008-06-15,Japan,Tonga,4,0,5,0,1,2,1,0
2008-11-16,Japan,United States,2,4,2,1,3,0,2,0
2008-11-01,Malta,Sweden,0,3,0,0,0,2,0,0
2008-06-11,Emerging Springbox,Georgia,1,2,0,0,0,1,0,0
2008-09-13,New Zealand,Australia,4,0,4,0,3,1,3,0
2008-06-07,Fiji Xv,Papua New Guinea,7,0,3,0,1,0,0,0
2008-02-23,Greece,Monaco,3,0,3,0,0,3,0,0
2008-11-08,United  States,Uruguay,6,1,5,0,0,3,0,0
2008-03-01,Russia,Portugal,5,4,3,0,2,4,2,0
2008-10-11,Norway,Austria,1,2,0,0,0,1,0,0
2008-05-24,Korea,Hong Kong,7,4,5,2,4,0,2,0
2008-03-08,Russia,Spain,4,6,2,0,1,3,1,0
2008-03-15,England,Ireland,3,4,3,0,1,1,1,0
2008-11-08,South Africa,Wales,2,2,2,0,0,5,0,0
2008-02-16,Portugal,Czech Republic,5,3,4,0,0,1,0,1
2008-02-09,France,Ireland,4,0,3,0,2,3,1,0
2008-11-08,New Zealand,Scotland,4,2,3,0,0,2,0,0
2008-07-05,New Zealand,South Africa,1,4,1,0,1,1,0,0
2008-06-21,South Africa,Italy,4,0,3,0,0,0,0,0
2008-11-14,Scotland 'A',Georgia,8,0,7,0,0,1,0,0
2008-09-27,Hungary,Norway,4,0,3,0,2,1,1,0
2008-11-15,Bosnia  Herzegovina,Slovakia,8,1,4,0,3,3,3,0
2008-04-12,Armenia,Denmark,2,4,1,0,2,1,0,0
2008-06-21,Canada,United States,4,0,3,0,1,1,1,0
2008-07-05,Tonga,Fiji,4,1,2,0,1,3,1,0
2008-05-18,Japan,Hong Kong,8,0,10,0,3,4,1,0
2008-11-22,Pacific  Islands,Italy,3,2,2,0,2,1,2,0
2008-06-20,Georgia,Italy 'A',3,2,2,0,0,1,0,0
2008-06-11,Ireland 'A',United States,7,1,4,0,0,3,0,0
2008-10-25,Croatia,Malta,2,2,1,0,1,3,1,0
2008-03-08,Wales,Ireland,1,3,1,0,0,4,0,0
2008-09-13,Slovenia,Hungary,5,1,2,0,4,0,3,0
2008-11-22,England,South Africa,0,2,0,0,5,3,4,0
2008-02-23,Georgia,Portugal,1,1,0,1,0,2,0,0
2008-08-02,Uganda,Madagascar,4,3,2,0,2,4,0,0
2008-05-24,Bulgaria,Austria,2,2,0,0,0,0,0,0
2008-06-28,Italy,Argentina,1,2,1,0,0,4,0,0
2008-06-07,Tanzania,Kenya 'A',1,3,1,0,2,1,1,0
2008-10-18,Armenia,Switzerland,4,2,3,1,2,1,1,0
2008-04-26,Austria,Norway,0,1,0,0,0,1,0,0
2008-06-28,Samoa,Tonga,2,2,2,0,0,5,0,0
2008-02-23,Wales,Italy,5,4,5,0,1,1,0,0
2008-03-15,Wales,France,2,5,2,0,0,4,0,0
