20 Oct 2001,Moldova,36,16,Serbia & Montenegro
05 Dec 1987,Spain,0,13,Italy
02 Dec 2009,Costa Rica,3,48,Colombia
10 Oct 2009,Ukraine,13,11,Belgium
01 Jun 2002,Morocco,23,21,Ivory Coast
01 Jan 1930,France,7,3,Scotland
01 Oct 1967,Denmark,6,9,Sweden
08 Oct 2003,Ghana,3,40,Cameroon
01 Jun 2012,Guam,16,18,India
19 Sep 1985,Argentina,59,6,Chile
05 Oct 2002,Swaziland,10,10,Botswana
27 May 1995,Japan,10,57,Wales
22 Feb 2003,Netherlands,25,32,Belgium
18 Apr 1997,Arabian Gulf,53,13,Botswana
03 May 1980,South Africa,18,9,South America
18 Apr 1970,France,35,13,England
20 Nov 2004,Croatia,18,7,Andorra
02 Apr 2000,Serbia & Montenegro,17,3,Moldova
01 Jul 1980,Switzerland,10,7,Luxembourg
22 Nov 2008,Uruguay,46,12,Chile
13 Aug 1964,Sweden,14,3,Denmark
05 Jun 1960,Romania,11,5,France
30 Jul 2011,New Zealand,40,7,South Africa
17 Feb 1879,Ireland,0,7,Scotland
22 Apr 1989,Portugal,13,9,Serbia & Montenegro
01 Jan 1913,France,3,21,Scotland
19 Jun 2010,New Zealand,42,9,Wales
08 Oct 1991,England,36,6,Italy
16 Nov 1986,Italy,14,16,Soviet Union
18 May 1996,Canada,24,20,United States
10 Oct 2003,Ghana,14,9,Togo
11 Mar 1878,Ireland,0,7,England
10 Sep 1983,Morocco,9,15,Italy
23 Jun 2008,Colombia,25,20,Peru
10 Jun 2011,Romania,13,11,Namibia
19 Nov 2010,Wales,16,16,Fiji
15 Oct 1999,England,101,10,Tonga
08 Dec 1984,Scotland,12,37,Australia
01 Jan 1984,Netherlands,6,6,Belgium
10 Aug 2005,Tanzania,71,0,Burundi
18 Jul 1959,New Zealand,18,17,Lions
22 Aug 1998,Argentina,54,28,Canada
16 Jan 1993,Scotland,15,3,Ireland
14 Oct 1995,France,34,22,Italy
30 Sep 2006,Russia,37,17,Ukraine
29 Sep 2010,Chile,30,32,Tonga
23 Mar 1991,Portugal,33,15,Andorra
23 Sep 1975,Brazil,7,38,Uruguay
09 Nov 2003,England,28,17,Wales
21 Jul 2007,New Zealand,26,12,Australia
29 May 2005,Romania,22,28,United States
28 Sep 2002,Namibia,26,19,Tunisia
15 Nov 2008,Chinese Taipei,35,23,Sri Lanka
30 Sep 2007,Ireland,15,30,Argentina
18 Feb 1893,Ireland,0,0,Scotland
30 Oct 1976,France,34,6,Australia
22 Nov 1997,France,10,52,South Africa
20 Jun 2010,Cambodia,9,10,Brunei
06 Nov 2010,Bulgaria,25,22,Greece
08 May 2010,Japan,60,5,Arabian Gulf
30 Sep 1990,Italy,30,6,Spain
24 Feb 1962,Ireland,6,20,Scotland
26 Apr 1997,Zambia,30,44,Arabian Gulf
21 May 1988,Czechoslovakia,15,0,Morocco
06 Jun 1998,Zimbabwe,11,49,Wales
07 Oct 2007,Argentina,19,13,Scotland
20 May 2011,Brazil,51,14,Paraguay
14 Apr 1963,France,14,12,Italy
09 Apr 1921,France,20,10,Ireland
11 Jun 1994,Canada,15,33,Wales
15 Jun 2008,Romania,13,12,Russia
04 May 2011,Thailand,37,24,India
11 Oct 1992,Belgium,11,17,Russia
09 Sep 1962,Brazil,13,5,Uruguay
13 Nov 2010,Wales,25,29,South Africa
09 Dec 1989,Scotland,32,0,Romania
22 Nov 1998,England,23,15,Italy
30 Oct 1993,Ivory Coast,15,3,Morocco
23 Jan 1965,Ireland,3,3,France
20 Oct 2001,Chile,33,13,Uruguay
19 Oct 1985,Ireland,16,15,Fiji
19 Feb 2000,France,9,15,England
06 Jul 1996,New Zealand,43,6,Australia
04 Mar 1978,Ireland,16,20,Wales
14 Oct 1971,Chile,40,0,Paraguay
16 Nov 1975,Switzerland,6,23,Czechoslovakia
01 Jan 1983,Netherlands,13,6,Poland
13 Oct 2001,Uruguay,26,7,Chile
05 Nov 2011,Belgium,55,0,Czech Republic
13 Jan 1968,Scotland,6,8,France
23 Oct 1994,Singapore,5,69,Thailand
01 Dec 1991,Namibia,46,20,Zimbabwe
19 Oct 1986,Belgium,9,0,Sweden
12 Nov 1988,Hong Kong,45,3,Sri Lanka
01 Nov 1997,Argentina,15,23,Australia
17 Mar 2007,France,46,19,Scotland
23 Apr 1988,Czechoslovakia,18,9,Tunisia
03 Sep 1983,Spain,8,17,Zimbabwe
05 Jul 1981,Australia,17,15,France
15 May 1988,Poland,18,9,Czechoslovakia
17 Oct 1993,Czech Republic,19,18,Poland
02 Jun 2001,Canada,10,22,England
02 Feb 1991,Ireland,13,21,France
22 Sep 2011,South Africa,87,0,Namibia
18 Jun 1988,Argentina,15,18,France
30 Jan 1982,Japan,18,12,Hong Kong
09 Sep 2012,Venezuela,28,17,Peru
17 May 1981,Uruguay,54,14,Paraguay
07 May 2011,India,19,30,Iran
26 Apr 2008,Sweden,22,3,Serbia & Montenegro
02 Oct 2011,Argentina,25,7,Georgia
15 Oct 2003,Fiji,19,18,United States
18 Feb 2001,Netherlands,20,41,Russia
19 Oct 1991,Scotland,28,6,Samoa
24 Feb 1968,Ireland,14,6,Scotland
06 May 2006,Luxembourg,8,25,Norway
