date,home_team,away_team,home_tries,home_penalties,home_conversions,home_drop_goals,away_tries,away_penalties,away_conversions,away_drop_goals
2012-02-24,Blues,Crusaders,2,2,1,0,1,4,1,0
2012-02-24,Brumbies,Force,2,3,0,0,1,4,0,0
2012-02-24,Bulls,Sharks,0,5,0,1,1,2,1,0
2012-02-25,Chiefs,Highlanders,1,4,1,0,2,3,2,0
2012-02-25,Waratahs,Reds,2,3,1,0,1,6,1,0
2012-02-25,Stormers,Hurricanes,3,5,3,1,2,4,2,0
2012-02-25,Lions,Cheetahs,0,9,0,0,1,5,1,1
2012-03-02,Chiefs,Blues,4,1,3,0,1,3,0,0
2012-03-02,Rebels,Waratahs,1,4,1,0,4,3,3,0
2012-03-03,Lions,Hurricanes,3,2,2,0,3,5,0,0
2012-03-03,Highlanders,Crusaders,3,2,3,0,2,4,1,0
2012-03-03,Reds,Force,2,7,2,0,2,3,2,0
2012-03-03,Cheetahs,Bulls,1,4,1,0,6,2,6,0
2012-03-03,Stormers,Sharks,0,5,0,0,0,4,0,0
2012-03-09,Crusaders,Chiefs,1,4,1,0,2,4,1,0
2012-03-10,Force,Hurricanes,1,5,1,0,6,1,5,0
2012-03-10,Brumbies,Cheetahs,2,4,1,0,2,3,1,0
2012-03-10,Highlanders,Waratahs,2,1,1,0,1,4,0,0
2012-03-10,Reds,Rebels,1,2,0,0,0,2,0,0
2012-03-10,Sharks,Lions,4,2,3,0,2,2,2,0
2012-03-10,Bulls,Blues,3,2,1,0,2,5,2,0
2012-03-16,Chiefs,Brumbies,2,5,2,0,1,5,1,0
2012-03-17,Stormers,Blues,2,5,1,0,2,1,2,0
2012-03-17,Hurricanes,Highlanders,1,4,0,0,1,4,1,0
2012-03-17,Waratahs,Force,2,2,2,0,2,3,1,0
2012-03-18,Sharks,Reds,3,2,3,0,3,1,2,0
2012-03-18,Rebels,Cheetahs,2,4,2,0,3,4,3,0
2012-03-23,Blues,Hurricanes,1,6,1,0,4,0,3,0
2012-03-24,Rebels,Force,3,3,3,0,4,1,2,0
2012-03-24,Waratahs,Sharks,4,2,4,0,3,3,3,0
2012-03-24,Crusaders,Cheetahs,3,3,2,0,2,3,1,0
2012-03-24,Brumbies,Highlanders,3,4,5,0,2,3,2,1
2012-03-24,Bulls,Reds,8,3,6,0,1,1,0,0
2012-03-24,Lions,Stormers,1,3,1,1,2,3,1,0
2012-03-30,Highlanders,Rebels,7,0,4,0,0,4,0,0
2012-03-31,Hurricanes,Cheetahs,4,4,3,0,6,3,4,0
2012-03-31,Chiefs,Waratahs,3,3,3,0,1,2,1,0
2012-03-31,Brumbies,Sharks,2,4,2,0,4,1,3,0
